ninho;proximi;t_sold_s;t_ope_s;t_recrut;n_cupim;A_cm;B_cm;C_cm;volume
c7;p10;0;411;411;11;11;21;13;12.6
c7;p50;0;172;172;27;11;21;13;12.6
c7;p95;88;900;812;3;11;21;13;12.6
c8;p10;;;0;0;10;20;12;10.1
c8;p50;;;0;0;10;20;12;10.1
c8;p95;;;0;0;10;20;12;10.1
c11;p10;4;123;119;3;90;22;49;406.4
c11;p50;218;472;254;3;90;22;49;406.4
c11;p95;0;138;138;21;90;22;49;406.4
c3;p10;8;592;584;12;39;11;22;39.5
c3;p50;13;364;351;5;39;11;22;39.5
c3;p95;20;460;440;34;39;11;22;39.5
c1;p10;0;964;964;18;46;27;22;114.5
c1;p50;9;336;327;24;46;27;22;114.5
c1;p95;0;320;320;70;46;27;22;114.5
c13;p10;0;241;241;15;26;19;23;47.6
c13;p50;0;480;480;18;26;19;23;47.6
c13;p95;2;393;391;30;26;19;23;47.6
c14;p10;0;969;969;50;42;21;35;129.3
c14;p50;4;712;708;29;42;21;35;129.3
c14;p95;9;192;183;67;42;21;35;129.3
c15;p10;;;0;0;44;24;33;146.0
c15;p50;;;0;0;44;24;33;146.0
c15;p95;0;0;0;0;44;24;33;146.0
c16;p10;152;216;64;2;40;30;22;110.6
c16;p50;10;59;49;16;40;30;22;110.6
c16;p95;5;58;53;15;40;30;22;110.6
c21;p10;21;192;171;4;27;30;17;57.7
c21;p50;11;123;112;14;27;30;17;57.7
c21;p95;0;350;350;32;27;30;17;57.7
c18;p10;0;1200;1200;51;35;20;40;117.3
c18;p50;7;974;967;17;35;20;40;117.3
c18;p95;0;699;699;84;35;20;40;117.3
c20;p10;7;265;258;6;20;15;20;25.1
c20;p50;3;643;640;18;20;15;20;25.1
c20;p95;15;68;53;35;20;15;20;25.1
c2;p10;20;398;378;4;18;23;22;38.2
c2;p50;34;516;482;4;18;23;22;38.2
c2;p95;10;264;254;23;18;23;22;38.2
c4;p10;;;0;0;14;14;28;23.0
c4;p50;;;0;0;14;14;28;23.0
c4;p95;0;0;0;0;14;14;28;23.0
